Normalized,Raw,Model,field
CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field,Basis 
schoppenandreas,"Schoppen, Andreas",,,Unknown,Person Unknown,
schottjohann14771548,"Schott, Johann, 1477-1548",,,Unknown,Person Unknown,
schottmartind1499,"Schott, Martin, d. 1499",,,Unknown,Person Unknown,
NEW:NO_MATCH:schönerhardd1542,"Schön, Erhard, d. 1542",,,Unknown,Person Unknown,
NEW:NO_MATCH:schönspergerjohann1520,"Schönsperger, Johann, -1520?",,,Unknown,Person Unknown,
NEW:NO_MATCH:schönspergerjohannd1520,"Schönsperger, Johann, d. 1520?",,,Unknown,Person Unknown,
schrammkarl18101888,"Schramm, Karl, 1810-1888",,,Unknown,Person Unknown,
schultacaspar,"Schulta, Caspar",,,Unknown,Person Unknown,
schultecaspar,"Schulte, Caspar",,,Unknown,Person Unknown,
schumannvalentind1542,"Schumann, Valentin, d. 1542",,,Unknown,Person Unknown,
NEW:NO_MATCH:schürermatthiasd1519,"Schürer, Matthias, d. 1519",,,Unknown,Person Unknown,
schwarzklosterkreuznach,Schwarz-Kloster Kreuznach,,,Unknown,Person Unknown,
schweikardjohannvonkronbergarchbishopandelectorofmainz15531626,"Schweikard, Johann, von Kronberg, Archbishop and Elector of Mainz, 1553-1626",,,Unknown,Person Unknown,
schwerteljohannfl15651577,"Schwertel, Johann, fl. 1565-1577",,,Unknown,Person Unknown,
schwerzthomas,"Schwerz, Thomas",,,Unknown,Person Unknown,
schwerziusthomas,"Schwerzius, Thomas",,,Unknown,Person Unknown,
schwinckwolfgang,"Schwinck, Wolfgang",,,Unknown,Person Unknown,
schwägeriusconradus,"Schwägerius, Conradus",,,Unknown,Person Unknown,
schymelphengjoannes,"Schymelpheng, Joannes",,,Unknown,Person Unknown,
schöfferjohannca14681531,"Schöffer, Johann, ca. 1468-1531",,,Unknown,Person Unknown,
schöfflerhektor,"Schöffler, Hektor",,,Unknown,Person Unknown,
NEW:NO_MATCH:schönerharddd1542,"Schön, Erhard, ‡d d. 1542",,,Unknown,Person Unknown,
schönemanncpc,"Schönemann, C.P.C.",,,Unknown,Person Unknown,
schönfeldlaurentiusvon,"Schönfeld, Laurentius von",,,Unknown,Person Unknown,
schönherrdaniel,"Schönherr, Daniel",,,Unknown,Person Unknown,
schönigvalentinfl15721613,"Schönig, Valentin, fl. 1572-1613",,,Unknown,Person Unknown,
schüsslerjodocus,"Schüssler, Jodocus",,,Unknown,Person Unknown,
schüsslerjohannfl14701473,"Schüssler, Johann, fl. 1470-1473",,,Unknown,Person Unknown,
scipioafricanusca236183bc,"Scipio, Africanus, ca. 236-183 B.C.",,,Unknown,Person Unknown,
scivioctavio,"Scivi, Octavio",,,Unknown,Person Unknown,
scotbylibrary,Scotby Library,,,Unknown,Person Unknown,
NEW:NO_MATCH:scotogualtiero,"Scoto, Gualtiero‏",,,Unknown,Person Unknown,
scottogirolamo,"Scotto, Girolamo",,,Unknown,Person Unknown,
seckendorfernst,"Seckendorf, Ernst",,,Unknown,Person Unknown,
seckendorfernst18921943,"Seckendorf, Ernst, 1892-1943",,,Unknown,Person Unknown,
sedlmeierlienhart,"Sedlmeier, Lienhart",,,Unknown,Person Unknown,
seeberb,"Seeber, B.",,,Unknown,Person Unknown,
seitzpeterd1577,"Seitz, Peter, d. 1577?",,,Unknown,Person Unknown,
semiramisqueenconsortofshamshiadadvkingofassyria9thcentbc,"Semiramis, Queen, consort of Shamshi-Adad V, King of Assyria, 9th cent. B.C.",,,Unknown,Person Unknown,
semleruscaspar,"Semlerus, Caspar",,,Unknown,Person Unknown,
senecaluciusannaeusapproximately4bc65ad,"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D",,,Unknown,Person Unknown,
senecaluciusannaeusapproximately4bc65ad,"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.",,,Unknown,Person Unknown,
senecaluciusannaeusca4bc65ad,"Seneca, Lucius Annaeus, ca. 4 B.C.-65 A.D.",,,Unknown,Person Unknown,
sengeljoannes,"Sengel, Joannes",,,Unknown,Person Unknown,
sengeliusjoannesludovicus,"Sengelius, Joannes Ludovicus",,,Unknown,Person Unknown,
senheimjoannessimon,"Senheim, Joannes Simon",,,Unknown,Person Unknown,
serariusnikolaus15581609,"Serarius, Nikolaus, 1558-1609",,,Unknown,Person Unknown,
serausbalthasar,"Seraus, Balthasar",,,Unknown,Person Unknown,
sergeantwilliam,"Sergeant, William",,,Unknown,Person Unknown,
sermartellibartolomeofl15631600,"Sermartelli, Bartolomeo, fl. 1563-1600",,,Unknown,Person Unknown,
sermartellimichelangelo,"Sermartelli, Michelangelo",,,Unknown,Person Unknown,
sesallifrancesco,"Sesalli, Francesco",,,Unknown,Person Unknown,
sesalligiacomo,"Sesalli, Giacomo",,,Unknown,Person Unknown,
sessagiovannibattistafl14891505,"Sessa, Giovanni Battista, fl. 1489-1505",,,Unknown,Person Unknown,
sessagiovannibernardo,"Sessa, Giovanni Bernardo",,,Unknown,Person Unknown,
sesslercharles18541935,"Sessler, Charles, 1854-1935",,,Unknown,Person Unknown,
setonkarrjohnd1884,"Seton-Karr, John, d. 1884",,,Unknown,Person Unknown,
setzerjohannd1532,"Setzer, Johann, d. 1532",,,Unknown,Person Unknown,
sfondratipaolocamillo15611618,"Sfondrati, Paolo Camillo,  1561-1618",,,Unknown,Person Unknown,
shaabermamatthiasadam1897,"Shaaber, M. A. (Matthias Adam), 1897",,,Unknown,Person Unknown,
sharpen,"Sharpe, N.",,,Unknown,Person Unknown,
sheppardg,"Sheppard, G.",,,Unknown,Person Unknown,
shoppeecharlesjohn18231897,"Shoppee, Charles John, 1823-1897",,,Unknown,Person Unknown,
shorttwtpwilliamtaylorpeterb1801,"Shortt, W. T. P. (William Taylor Peter), b. 1801?",,,Unknown,Person Unknown,
siegfriedvonfeuchtwangend1311,"Siegfried, von Feuchtwangen, d. 1311",,,Unknown,Person Unknown,
sieverse,"Sievers, E.",,,Unknown,Person Unknown,
sieversge,"Sievers, G. E.",,,Unknown,Person Unknown,
sighinolfilino18761956,"Sighinolfi, Lino 1876-1956",,,Unknown,Person Unknown,
siliprandusdominicus,"Siliprandus, Dominicus",,,Unknown,Person Unknown,
silvestriserolide,"Silvestris, Eroli de",,,Unknown,Person Unknown,
silvius,Silvius,,,Unknown,Person Unknown,
simms,Simms,,,Unknown,Person Unknown,
simon,Simon,,,Unknown,Person Unknown,
simonfranciscus,"Simon, Franciscus",,,Unknown,Person Unknown,
simonrichard16381712,"Simon, Richard, 1638-1712",,,Unknown,Person Unknown,
simonec,"Simone, C.",,,Unknown,Person Unknown,
simonetajoannesmariaactive14821552,"Simoneta, Joannes Maria, active 1482-1552",,,Unknown,Person Unknown,
simpliciusofcilicia,"Simplicius, of Cilicia",,,Unknown,Person Unknown,
simpsonac,"Simpson, A. C.",,,Unknown,Person Unknown,
singejakobfl15851638,"Singe, Jakob, fl. 1585-1638",,,Unknown,Person Unknown,
singersamuelweller17831858,"Singer, Samuel Weller, 1783-1858",,,Unknown,Person Unknown,
singrienerjohannd1545,"Singriener, Johann, d. 1545",,,Unknown,Person Unknown,
sitgreavessamuel17641827,"Sitgreaves, Samuel, 1764-1827",,,Unknown,Person Unknown,
sivosgiovannicarlo,"Sivos, Giovanni Carlo",,,Unknown,Person Unknown,
sixtusivpope14141484,"Sixtus IV, Pope, 1414-1484",,,Unknown,Person Unknown,
slingsbywilliamsir15621634,"Slingsby, William, Sir, 1562?-1634",,,Unknown,Person Unknown,
smithbartholomewdeeked1828,"Smith, Bartholomew Deeke, d. 1828",,,Unknown,Person Unknown,
smithelderandco,"Smith, Elder, and Co.",,,Unknown,Person Unknown,
smithgeorgedgeorgedallas18701920,"Smith, George D. (George Dallas), 1870-1920",,,Unknown,Person Unknown,
smithhunterj,"Smith, Hunter, J.",,,Unknown,Person Unknown,
smithjohnspencer17691845,"Smith, John Spencer, 1769-1845",,,Unknown,Person Unknown,
smiththomas,"Smith, Thomas",,,Unknown,Person Unknown,
sneadjhon,"Snead, Jhon",,,Unknown,Person Unknown,
sneadpeter,"Snead, Peter",,,Unknown,Person Unknown,
soapergeorge,"Soaper, George",,,Unknown,Person Unknown,
soccinibartolommeo14361507,"Soccini, Bartolommeo, 1436-1507",,,Unknown,Person Unknown,
somascogiovannibattistaapproximately1592,"Somasco, Giovanni Battista, -approximately 1592",,,Unknown,Person Unknown,
soneinojohannesde,"Soneino, Johannes(?) de",,,Unknown,Person Unknown,
sonzognigiovanni,"Sonzogni, Giovanni",,,Unknown,Person Unknown,
sonzognigiovannipietro,"Sonzogni, Giovanni Pietro",,,Unknown,Person Unknown,
sonzogniparentelli,"Sonzogni, Parentelli",,,Unknown,Person Unknown,
sonzoniusioannispetrus,"Sonzonius, Ioannis Petrus",,,Unknown,Person Unknown,
sophonisbad203bc,"Sophonisba, d. 203 B.C.",,,Unknown,Person Unknown,
NEW:NO_MATCH:soragnaraimondomelilupi18421891,"Soragna, Raimondo Melilupi, 1842-1891‏",,,Unknown,Person Unknown,
soranzogiacomo16861751,"Soranzo, Giacomo, 1686-1751",,,Unknown,Person Unknown,
sorettaf,"Soretta, F.",,,Unknown,Person Unknown,
sorganton15thcent,"Sorg, Anton, 15th cent.",,,Unknown,Person Unknown,
sormanusjohannesbaptistafl16191635,"Sormanus, Johannes Baptista, fl. 1619-1635",,,Unknown,Person Unknown,
sowletace16671746,"Sowle, Tace, 1667-1746",,,Unknown,Person Unknown,
spainsovereign14791504ferdinandvandisabellai,Spain. Sovereign (1479-1504 : Ferdinand V and Isabella I),,,Unknown,Person Unknown,
spannocchierminio,"Spannocchi, Erminio",,,Unknown,Person Unknown,
spencergeorgejohnspencerearl17581834,"Spencer, George John Spencer, Earl, 1758-1834",,,Unknown,Person Unknown,
spethvonschülzburgstephan,"Speth von Schülzburg, Stephan",,,Unknown,Person Unknown,
spiegelbergfrederick18631937,"Spiegelberg, Frederick, 1863-1937",,,Unknown,Person Unknown,
spiessjohannfl15711610,"Spiess, Johann, fl. 1571-1610",,,Unknown,Person Unknown,
spilsburyfrancismosley18261878,"Spilsbury, Francis Mosley, 1826-1878",,,Unknown,Person Unknown,
spirinxlouis15961669,"Spirinx, Louis, 1596-1669",,,Unknown,Person Unknown,
spiritolorenzo,"Spirito, Lorenzo",,,Unknown,Person Unknown,
spoorjohnajohnalden18511926,"Spoor, John A. (John Alden), 1851-1926",,,Unknown,Person Unknown,
spörlijakob1625,"Spörli, Jakob, -1625",,,Unknown,Person Unknown,
squadroniantonio,"Squadroni, Antonio",,,Unknown,Person Unknown,
stadlerjoannes,"Stadler, Joannes",,,Unknown,Person Unknown,
stagninobernardinod1540,"Stagnino, Bernardino, d. 1540",,,Unknown,Person Unknown,
stagnonantoniomaria17511805,"Stagnon, Antonio Maria, 1751-1805",,,Unknown,Person Unknown,
stanesr,"Stanes, R.",,,Unknown,Person Unknown,
stangejohann,"Stange, Johann",,,Unknown,Person Unknown,
stanhopephilip17321768,"Stanhope, Philip, 1732-1768",,,Unknown,Person Unknown,
stanislaopolonoactive14911514,"Stanislao, Polono, active 1491-1514",,,Unknown,Person Unknown,
staphylusfridericus15121564,"Staphylus, Fridericus, 1512-1564",,,Unknown,Person Unknown,
starkensteinemil18841942,"Starkenstein, Emil, 1884-1942",,,Unknown,Person Unknown,
starlingsamuelsird1674,"Starling, Samuel, Sir, d. 1674",,,Unknown,Person Unknown,
steelsjoannes16thcent,"Steels, Joannes, 16th cent.",,,Unknown,Person Unknown,
steendamjacobb1616,"Steendam, Jacob, b. 1616",,,Unknown,Person Unknown,
steiberjohannes,"Steiber, Johannes",,,Unknown,Person Unknown,
steinhöwelheinrich14121482,"Steinhöwel, Heinrich, 1412-1482?",,,Unknown,Person Unknown,
steinmanntobias15561631,"Steinmann, Tobias, 1556-1631",,,Unknown,Person Unknown,
steinmeyerpauld1586,"Steinmeyer, Paul, d. 1586",,,Unknown,Person Unknown,
steitzantonius,"Steitz, Antonius",,,Unknown,Person Unknown,
stellatilemann15251589,"Stella, Tilemann, 1525-1589",,,Unknown,Person Unknown,
stevenscharleswilliamd1896,"Stevens, Charles William, d. 1896",,,Unknown,Person Unknown,
stewartelizabeth,"Stewart, Elizabeth",,,Unknown,Person Unknown,
stewartjohn,"Stewart, John",,,Unknown,Person Unknown,
stewartthomas,"Stewart, Thomas",,,Unknown,Person Unknown,
stigereberhardusdeamersfordia,"Stiger, Eberhardus, de Amersfordia",,,Unknown,Person Unknown,
stigiolafelicefl15931604,"Stigiola, Felice, fl. 1593-1604",,,Unknown,Person Unknown,
stiloanthoninusde,"Stilo, Anthoninus de",,,Unknown,Person Unknown,
stockje,"Stock, J. E.",,,Unknown,Person Unknown,
stockejoannis,"Stocke, Joannis",,,Unknown,Person Unknown,
stockejohannes,"Stocke, Johannes",,,Unknown,Person Unknown,
stoddardrichardhenry18251903,"Stoddard, Richard Henry, 1825-1903",,,Unknown,Person Unknown,
stolbergchristianernstprinz16911771,"Stolberg, Christian Ernst, Prinz, 1691-1771",,,Unknown,Person Unknown,
storeranthonymorris17461799,"Storer, Anthony Morris, 1746-1799",,,Unknown,Person Unknown,
stosrolet1501,"Stos, Rolet -1501",,,Unknown,Person Unknown,
stosrolet1501,"Stos, Rolet, -1501",,,Unknown,Person Unknown,
NEW:NO_MATCH:strahovskáknihovna,Strahovská knihovna,,,Unknown,Person Unknown,
strathmorejohnbowesearlof17691820,"Strathmore, John Bowes, Earl of, 1769-1820",,,Unknown,Person Unknown,
straublukasactive16451692,"Straub, Lukas, active 1645-1692",,,Unknown,Person Unknown,
striglionigiomattia16281685,"Striglioni, Gio Mattia, 1628-1685",,,Unknown,Person Unknown,
stuartjamessir17801853,"Stuart, James, Sir, 1780-1853",,,Unknown,Person Unknown,
stubbswilliam18251901,"Stubbs, William, 1825-1901",,,Unknown,Person Unknown,
stumpfiusjohannes,"Stumpfius, Johannes(?)",,,Unknown,Person Unknown,
stöpelgustav,"Stöpel, Gustav",,,Unknown,Person Unknown,
suardipontiantonia18601938,"Suardi-Ponti, Antonia, 1860-1938",,,Unknown,Person Unknown,
successorofpetrushagenbachactive15031511,"Successor of Petrus Hagenbach, active 1503-1511",,,Unknown,Person Unknown,
NEW:NO_MATCH:sudreléopoldb1855,"Sudre, Léopold, b. 1855",,,Unknown,Person Unknown,
suetoniusapproximately69approximately122,"Suetonius, approximately 69-approximately 122",,,Unknown,Person Unknown,
sutormartinus,"Sutor, Martinus",,,Unknown,Person Unknown,
sutorispetrus,"Sutoris, Petrus",,,Unknown,Person Unknown,
sutterusmelchior,"Sutterus, Melchior",,,Unknown,Person Unknown,
swinburneedward17331786,"Swinburne, Edward, 1733-1786",,,Unknown,Person Unknown,
swinesheadrichard,"Swineshead, Richard",,,Unknown,Person Unknown,
symmonsjohn17451831,"Symmons, John, 1745-1831",,,Unknown,Person Unknown,
symondsjohnaddington18401893,"Symonds, John Addington, 1840-1893",,,Unknown,Person Unknown,
symonsbequest,Symons Bequest,,,Unknown,Person Unknown,
symonsgjgeorgejames18381900,"Symons, G. J. (George James), 1838-1900",,,Unknown,Person Unknown,
symonsgeorge,"Symons, George",,,Unknown,Person Unknown,
syngisbiew,"Syngisbie, W",,,Unknown,Person Unknown,
sánchezdearévalorodrigo14041470,"Sánchez de Arévalo, Rodrigo, 1404-1470",,,Unknown,Person Unknown,
tagiuriclementecorrado19thcent,"Tagiuri, Clemente Corrado, 19th cent.",,,Unknown,Person Unknown,
talentibartolomeoantonio17101779,"Talenti, Bartolomeo Antonio, 1710-1779",,,Unknown,Person Unknown,
tarquiniuscollatinuslucius,"Tarquinius Collatinus, Lucius",,,Unknown,Person Unknown,
tartagnijacopo,"Tartagni, Jacopo",,,Unknown,Person Unknown,
taschvonloewenhornjohann,"Tasch von Loewenhorn, Johann",,,Unknown,Person Unknown,
tassotorquato15441595,"Tasso, Torquato, 1544-1595",,,Unknown,Person Unknown,
taylorjohn,"Taylor, John",,,Unknown,Person Unknown,
tebaldeoantonio14631537,"Tebaldeo, Antonio, 1463-1537",,,Unknown,Person Unknown,
teillardjbc,"Teillard, J.B.C.",,,Unknown,Person Unknown,
telserusjohannes,"Telserus, Johannes",,,Unknown,Person Unknown,
temlerc,"Temler, C(?)",,,Unknown,Person Unknown,
templerobert,"Temple, Robert",,,Unknown,Person Unknown,
teodorithomas,"Teodori, Thomas",,,Unknown,Person Unknown,
thannerjakobfl14981529,"Thanner, Jakob, fl. 1498-1529",,,Unknown,Person Unknown,
theisenjosephm,"Theisen, Joseph M.",,,Unknown,Person Unknown,
theuermax18781948,"Theuer, Max, 1878-1948",,,Unknown,Person Unknown,
theuermaxb1878,"Theuer, Max, b. 1878",,,Unknown,Person Unknown,
thibautg,"Thibaut, G.",,,Unknown,Person Unknown,
thierrythibautgaspard,"Thierry, Thibaut Gaspard",,,Unknown,Person Unknown,
thirlauffjoannesmichael,"Thirlauff, Joannes Michael",,,Unknown,Person Unknown,
thomasrandall,Thomas Randall,,,Unknown,Person Unknown,
thompsonbeilby17421799,"Thompson, Beilby, 1742-1799",,,Unknown,Person Unknown,
thompsonjohnpeter,"Thompson, John Peter",,,Unknown,Person Unknown,
thorinernestb1834,"Thorin, Ernest, b. 1834",,,Unknown,Person Unknown,
thoroldjohnsir17341815,"Thorold, John, Sir, 1734-1815",,,Unknown,Person Unknown,
thunhohensteinfranzantoniigraf18091870,"Thun-Hohenstein, Franz Anton, II, Graf, 1809-1870",,,Unknown,Person Unknown,
thyraeuspetrus15461601,"Thyraeus, Petrus, 1546-1601",,,Unknown,Person Unknown,
tienegaetano1387approximately1462,"Tiene, Gaetano, 1387-approximately 1462",,,Unknown,Person Unknown,
tilleyarthuraugustus18511942,"Tilley, Arthur Augustus, 1851-1942.",,,Unknown,Person Unknown,
toerringhanssigmundvongrafvontörringundtengling15821636,"Toerring, Hans Sigmund von, Graf von Törring und Tengling, 1582-1636",,,Unknown,Person Unknown,
toledofrancisco15321596,"Toledo, Francisco, 1532-1596",,,Unknown,Person Unknown,
tomagiacomode,"Toma, Giacomo de",,,Unknown,Person Unknown,
tomitanogiuliobernardino17611828,"Tomitano, Giulio Bernardino,‏ ‎ 1761-1828‏",,,Unknown,Person Unknown,
torquemadajuande13881468,"Torquemada, Juan de, 1388-1468",,,Unknown,Person Unknown,
torredirezzonicocarlocastonedella17421796,"Torre di Rezzonico, Carlo Castone della, 1742-1796",,,Unknown,Person Unknown,
torrentinolorenzo1563,"Torrentino, Lorenzo, -1563",,,Unknown,Person Unknown,
torresanusandreasdeasula14511529,"Torresanus, Andreas, de Asula, 1451-1529",,,Unknown,Person Unknown,
tortibattistaactive14811536,"Torti, Battista, active 1481-1536",,,Unknown,Person Unknown,
tortibattistafl14811536,"Torti, Battista, fl. 1481-1536",,,Unknown,Person Unknown,
trembleyjp,"Trembley, J P",,,Unknown,Person Unknown,
trembleyjeanpierre,"Trembley, Jean-Pierre",,,Unknown,Person Unknown,
trevelyanflorence18521907,"Trevelyan, Florence 1852-1907",,,Unknown,Person Unknown,
trierkarlvond1324,"Trier, Karl von, d. 1324",,,Unknown,Person Unknown,
tristan,Tristan,,,Unknown,Person Unknown,
tronchinhenryb1853,"Tronchin, Henry, b. 1853",,,Unknown,Person Unknown,
trotter,Trotter,,,Unknown,Person Unknown,
trotterjohn16671718,"Trotter, John, 1667-1718",,,Unknown,Person Unknown,
trottibernardod1595,"Trotti, Bernardo, d. 1595",,,Unknown,Person Unknown,
truchicesare,"Truchi, Cesare",,,Unknown,Person Unknown,
truchsessvonwaldburgotto15141573,"Truchsess von Waldburg, Otto, 1514-1573",,,Unknown,Person Unknown,
tunatitomaso,"Tunati, Tomaso",,,Unknown,Person Unknown,
NEW:NO_MATCH:turnerrobertsrobertsamuel18181887,"Turner, Robert S.‏  (Robert Samuel), 1818-1887‏",,,Unknown,Person Unknown,
NEW:NO_MATCH:turtonwilliam17621835,"Turton, William, ‎1762-1835‏",,,Unknown,Person Unknown,
twopennywilliam18171889,"Twopenny, William, 1817-1889",,,Unknown,Person Unknown,
tydemanmeinard17411825,"Tydeman, Meinard, 1741-1825",,,Unknown,Person Unknown,
tyrawlyjamesoharabaron16901773,"Tyrawly, James O'Hara, Baron, 1690-1773",,,Unknown,Person Unknown,
ulmanncarljcarljosephb1863,"Ulmann, Carl J. (Carl Joseph), b. 1863",,,Unknown,Person Unknown,
ulrichherzogzumecklenburg15271603,"Ulrich, Herzog zu Mecklenburg, 1527-1603",,,Unknown,Person Unknown,
umbersibyllinus,"Umber, Sibyllinus",,,Unknown,Person Unknown,
ungeltervondiessenhausenwolfjacobb1596,"Ungelter von Diessenhausen, Wolf Jacob, b. 1596",,,Unknown,Person Unknown,
ungutmeinard1499,"Ungut, Meinard, -1499?",,,Unknown,Person Unknown,
valentinifernando,"Valentini, Fernando",,,Unknown,Person Unknown,
valerianigiovannibattista,"Valeriani, Giovanni Battista",,,Unknown,Person Unknown,
valgrisivincenzofl15401572,"Valgrisi, Vincenzo, fl. 1540-1572",,,Unknown,Person Unknown,
valieragostino15301606,"Valier, Agostino, 1530-1606",,,Unknown,Person Unknown,
vallanicolausd1568,"Valla, Nicolaus, d. 1568",,,Unknown,Person Unknown,
vancortlandtedward18051875,"Van Cortlandt, Edward, 1805-1875",,,Unknown,Person Unknown,
varesigiuseppe18thcent,"Varesi, Giuseppe, 18th cent.",,,Unknown,Person Unknown,
vatterhannsvonmellingen,"Vatter, Hanns, von Mellingen",,,Unknown,Person Unknown,
vaughanrobert17thcent,"Vaughan, Robert, 17th cent.",,,Unknown,Person Unknown,
vaughanwilmotearloflisburne17301800,"Vaughan, Wilmot, Earl of Lisburne, 1730-1800",,,Unknown,Person Unknown,
vegiomaffeo1406or71458,"Vegio, Maffeo, 1406 or 7-1458",,,Unknown,Person Unknown,
venturacominod1617,"Ventura, Comino, d. 1617",,,Unknown,Person Unknown,
verbeystjanbaptist17701849,"Verbeyst, Jan Baptist 1770-1849",,,Unknown,Person Unknown,
vercellensisalbertinusactive14991508,"Vercellensis, Albertinus, active 1499-1508",,,Unknown,Person Unknown,
vergeriopietropaolo13701444,"Vergerio, Pietro Paolo, 1370-1444",,,Unknown,Person Unknown,
